date,source_model,session_groups,base_qqqm_weight,base_soxx_weight,tqqq_pre_weight,tqqq_post_weight,soxl_pre_weight,soxl_post_weight,all_weights_before_json,all_weights_after_json,effective_technology_exposure_before,effective_technology_exposure_after,emergency_state,emergency_applied,growth_strength,soxx_strength,risk_off_strength,crash_pressure,total_budget,growth_min,soxx_strength_min,risk_off_max,hard_risk_off_max_exclusive,hard_crash_max_exclusive,technology_exposure_limit,inputs_finite,risk_off_lt_hard_max,crash_pressure_lt_hard_max,complete_boolean_result_hard_safe,capital_destination,emergency_turnover,emergency_transaction_cost,emergency_slippage,portfolio_return_with_emergency,portfolio_return_without_emergency,drawdown_with_emergency,drawdown_without_emergency,decision_reason,source_artifacts,source_fields,forward_1d_effect,forward_2d_effect,forward_5d_effect,forward_10d_effect,forward_21d_effect,group_01_tqqq_positive,group_02_tqqq_ge_10pct,group_03_tqqq_ge_20pct,group_04_tqqq_largest,group_05_soxl_positive,group_06_soxl_ge_10pct,group_07_soxl_ge_20pct,group_08_soxl_largest,group_09_both_active,group_10_combined_ge_30pct,group_11_effective_tech_ge_1x,group_12_emergency_tqqq_active,group_13_emergency_soxl_active,group_14_emergency_both_active,group_15_emergency_reduced_technology
2023-11-15,022F_BASE,group_01_tqqq_positive;group_02_tqqq_ge_10pct,0.5519999999999999,0.0,0.1754256134260279,0.1754256134260279,0.0,0.0,"{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}","{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}",0.9028512268520557,0.9028512268520557,NORMAL,False,0.0023923027889253,-0.0021784322018586,-0.4655651089817017,-0.23478972088361,0.1906800145935085,-0.1,-0.1,1.25,1.6,2.5,2.1390000001,True,True,True,True,NO_EMERGENCY_TRANSFER,0.0,0.0,0.0,-0.0005412734010860998,-0.0005412734010860998,-0.0005412734010861175,-0.0005412734010861175,all_hard_safety_criteria_passed,model_c_plus_081_mature_common_leverage_replay.csv;common_technology_leverage_080.py,feature_growth_strength;feature_soxx_strength;feature_risk_off_strength;feature_crash_pressure;feature_total_budget;weight_*;asset_return_*,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-11-16,022F_BASE,group_01_tqqq_positive;group_02_tqqq_ge_10pct,0.5519999999999999,0.0,0.1754256134260279,0.1754256134260279,0.0,0.0,"{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}","{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}",0.9028512268520557,0.9028512268520557,NORMAL,False,0.0023923027889253,-0.0021784322018586,-0.4655651089817017,-0.23478972088361,0.1906800145935085,-0.1,-0.1,1.25,1.6,2.5,2.1390000001,True,True,True,True,NO_EMERGENCY_TRANSFER,0.0,0.0,0.0,-0.0019492659229034,-0.0019492659229034,-0.002489484238193951,-0.002489484238193951,all_hard_safety_criteria_passed,model_c_plus_081_mature_common_leverage_replay.csv;common_technology_leverage_080.py,feature_growth_strength;feature_soxx_strength;feature_risk_off_strength;feature_crash_pressure;feature_total_budget;weight_*;asset_return_*,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-11-17,022F_BASE,group_01_tqqq_positive;group_02_tqqq_ge_10pct,0.5519999999999999,0.0,0.1754256134260279,0.1754256134260279,0.0,0.0,"{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}","{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}",0.9028512268520557,0.9028512268520557,NORMAL,False,0.0023923027889253,-0.0021784322018586,-0.4655651089817017,-0.23478972088361,0.1906800145935085,-0.1,-0.1,1.25,1.6,2.5,2.1390000001,True,True,True,True,NO_EMERGENCY_TRANSFER,0.0,0.0,0.0,0.000394715319818,0.000394715319818,-0.002095751555943104,-0.002095751555943104,all_hard_safety_criteria_passed,model_c_plus_081_mature_common_leverage_replay.csv;common_technology_leverage_080.py,feature_growth_strength;feature_soxx_strength;feature_risk_off_strength;feature_crash_pressure;feature_total_budget;weight_*;asset_return_*,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-11-20,022F_BASE,group_01_tqqq_positive;group_02_tqqq_ge_10pct,0.5519999999999999,0.0,0.1754256134260279,0.1754256134260279,0.0,0.0,"{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}","{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}",0.9028512268520557,0.9028512268520557,NORMAL,False,0.0023923027889253,-0.0021784322018586,-0.4655651089817017,-0.23478972088361,0.1906800145935085,-0.1,-0.1,1.25,1.6,2.5,2.1390000001,True,True,True,True,NO_EMERGENCY_TRANSFER,0.0,0.0,0.0,0.0156976629139435,0.0156976629139435,0.0,0.0,all_hard_safety_criteria_passed,model_c_plus_081_mature_common_leverage_replay.csv;common_technology_leverage_080.py,feature_growth_strength;feature_soxx_strength;feature_risk_off_strength;feature_crash_pressure;feature_total_budget;weight_*;asset_return_*,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-11-21,022F_BASE,group_01_tqqq_positive;group_02_tqqq_ge_10pct,0.5519999999999999,0.0,0.1754256134260279,0.1754256134260279,0.0,0.0,"{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}","{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}",0.9028512268520557,0.9028512268520557,NORMAL,False,0.0023923027889253,-0.0021784322018586,-0.4655651089817017,-0.23478972088361,0.1906800145935085,-0.1,-0.1,1.25,1.6,2.5,2.1390000001,True,True,True,True,NO_EMERGENCY_TRANSFER,0.0,0.0,0.0,-0.0078619990999276,-0.0078619990999276,-0.007861999099927575,-0.007861999099927575,all_hard_safety_criteria_passed,model_c_plus_081_mature_common_leverage_replay.csv;common_technology_leverage_080.py,feature_growth_strength;feature_soxx_strength;feature_risk_off_strength;feature_crash_pressure;feature_total_budget;weight_*;asset_return_*,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-11-22,022F_BASE,group_01_tqqq_positive;group_02_tqqq_ge_10pct,0.5519999999999999,0.0,0.1754256134260279,0.1754256134260279,0.0,0.0,"{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}","{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}",0.9028512268520557,0.9028512268520557,NORMAL,False,0.0023923027889253,-0.0021784322018586,-0.4655651089817017,-0.23478972088361,0.1906800145935085,-0.1,-0.1,1.25,1.6,2.5,2.1390000001,True,True,True,True,NO_EMERGENCY_TRANSFER,0.0,0.0,0.0,0.0026451897358085994,0.0026451897358085994,-0.005237605843441018,-0.005237605843441018,all_hard_safety_criteria_passed,model_c_plus_081_mature_common_leverage_replay.csv;common_technology_leverage_080.py,feature_growth_strength;feature_soxx_strength;feature_risk_off_strength;feature_crash_pressure;feature_total_budget;weight_*;asset_return_*,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-11-24,022F_BASE,group_01_tqqq_positive;group_02_tqqq_ge_10pct,0.5519999999999999,0.0,0.1754256134260279,0.1754256134260279,0.0,0.0,"{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}","{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}",0.9028512268520557,0.9028512268520557,NORMAL,False,0.0023923027889253,-0.0021784322018586,-0.4655651089817017,-0.23478972088361,0.1906800145935085,-0.1,-0.1,1.25,1.6,2.5,2.1390000001,True,True,True,True,NO_EMERGENCY_TRANSFER,0.0,0.0,0.0,-0.0010993704354428,-0.0010993704354428,-0.00633121820986704,-0.00633121820986704,all_hard_safety_criteria_passed,model_c_plus_081_mature_common_leverage_replay.csv;common_technology_leverage_080.py,feature_growth_strength;feature_soxx_strength;feature_risk_off_strength;feature_crash_pressure;feature_total_budget;weight_*;asset_return_*,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-11-27,022F_BASE,group_01_tqqq_positive;group_02_tqqq_ge_10pct,0.5519999999999999,0.0,0.1754256134260279,0.1754256134260279,0.0,0.0,"{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}","{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}",0.9028512268520557,0.9028512268520557,NORMAL,False,0.0023923027889253,-0.0021784322018586,-0.4655651089817017,-0.23478972088361,0.1906800145935085,-0.1,-0.1,1.25,1.6,2.5,2.1390000001,True,True,True,True,NO_EMERGENCY_TRANSFER,0.0,0.0,0.0,-0.0018018679509247,-0.0018018679509247,-0.008121678141609245,-0.008121678141609245,all_hard_safety_criteria_passed,model_c_plus_081_mature_common_leverage_replay.csv;common_technology_leverage_080.py,feature_growth_strength;feature_soxx_strength;feature_risk_off_strength;feature_crash_pressure;feature_total_budget;weight_*;asset_return_*,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-11-28,022F_BASE,group_01_tqqq_positive;group_02_tqqq_ge_10pct,0.5519999999999999,0.0,0.1754256134260279,0.1754256134260279,0.0,0.0,"{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}","{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}",0.9028512268520557,0.9028512268520557,NORMAL,False,0.0023923027889253,-0.0021784322018586,-0.4655651089817017,-0.23478972088361,0.1906800145935085,-0.1,-0.1,1.25,1.6,2.5,2.1390000001,True,True,True,True,NO_EMERGENCY_TRANSFER,0.0,0.0,0.0,0.0065540152472127,0.0065540152472127,-0.0016208924967694438,-0.0016208924967694438,all_hard_safety_criteria_passed,model_c_plus_081_mature_common_leverage_replay.csv;common_technology_leverage_080.py,feature_growth_strength;feature_soxx_strength;feature_risk_off_strength;feature_crash_pressure;feature_total_budget;weight_*;asset_return_*,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-11-29,022F_BASE,group_01_tqqq_positive;group_02_tqqq_ge_10pct,0.5519999999999999,0.0,0.1754256134260279,0.1754256134260279,0.0,0.0,"{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}","{""BIL"": 0.0, ""ERX"": 0.0, ""FEZ"": 0.0, ""GLD"": 0.0, ""IEF"": 0.0, ""IWM"": 0.0, ""QQQM"": 0.376574386573972, ""SOXL"": 0.0, ""SOXX"": 0.0, ""TLT"": 0.0, ""TNA"": 0.0, ""TQQQ"": 0.1754256134260279, ""UXI"": 0.0, ""XLB"": 0.0, ""XLE"": 0.0, ""XLF"": 0.0, ""XLI"": 0.0, ""XLP"": 0.0, ""XLRE"": 0.08, ""XLU"": 0.0, ""XLV"": 0.0, ""XSOE"": 0.368}",0.9028512268520557,0.9028512268520557,NORMAL,False,0.7153412822346663,1.1550275365206957,-1.047883236858826,0.4225573510020424,0.3566972827015154,-0.1,-0.1,1.25,1.6,2.5,2.1390000001,True,True,True,True,NO_EMERGENCY_TRANSFER,0.0,0.0,0.0,-0.0020184637435584,-0.0020184637435584,-0.0036360845275910103,-0.0036360845275910103,all_hard_safety_criteria_passed,model_c_plus_081_mature_common_leverage_replay.csv;common_technology_leverage_080.py,feature_growth_strength;feature_soxx_strength;feature_risk_off_strength;feature_crash_pressure;feature_total_budget;weight_*;asset_return_*,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
