date,use_expanded,turnover,embedded_selected_source_cost,missing_switch_cost
2023-10-18,False,,,
2023-10-19,False,,,
2023-10-20,False,,,
2023-10-23,False,,,
2023-10-24,False,,,
2023-10-25,False,,,
2023-10-26,False,,,
2023-10-27,False,,,
2023-10-30,False,,,
2023-10-31,False,,,
2023-11-01,False,,,
2023-11-02,False,,,
2023-11-03,False,,,
2023-11-06,False,,,
2023-11-07,False,,,
2023-11-08,False,,,
2023-11-09,False,,,
2023-11-10,False,,,
2023-11-13,False,,,
2023-11-14,False,,,
2023-11-15,False,,,
2023-11-16,False,,,
2023-11-17,False,,,
2023-11-20,False,,,
2023-11-21,False,,,
2023-11-22,False,,,
2023-11-24,False,,,
2023-11-27,False,,,
2023-11-28,False,,,
2023-11-29,False,,,
2023-11-30,False,,,
2023-12-01,False,,,
2023-12-04,False,,,
2023-12-05,False,,,
2023-12-06,False,,,
2023-12-07,False,,,
2023-12-08,False,,,
2023-12-11,False,,,
2023-12-12,False,,,
2023-12-13,True,0.6959318789641995,0.0,0.0006959318789641
2023-12-14,True,,,
2023-12-15,True,,,
2023-12-18,True,,,
2023-12-19,True,,,
2023-12-20,True,,,
2023-12-21,True,,,
2023-12-22,True,,,
2023-12-26,True,,,
2023-12-27,True,,,
2023-12-28,True,,,
2023-12-29,True,,,
2024-01-02,True,,,
2024-01-03,True,,,
2024-01-04,True,,,
2024-01-05,True,,,
2024-01-08,True,,,
2024-01-09,True,,,
2024-01-10,True,,,
2024-01-11,True,,,
2024-01-12,False,0.9999999999999998,0.0,0.0009999999999999
2024-01-16,False,,,
2024-01-17,False,,,
2024-01-18,False,,,
2024-01-19,False,,,
2024-01-22,False,,,
2024-01-23,False,,,
2024-01-24,False,,,
2024-01-25,False,,,
2024-01-26,False,,,
2024-01-29,False,,,
2024-01-30,False,,,
2024-01-31,False,,,
2024-02-01,False,,,
2024-02-02,False,,,
2024-02-05,False,,,
2024-02-06,False,,,
2024-02-07,False,,,
2024-02-08,False,,,
2024-02-09,False,,,
2024-02-12,False,,,
2024-02-13,False,,,
2024-02-14,False,,,
2024-02-15,False,,,
2024-02-16,False,,,
2024-02-20,False,,,
2024-02-21,False,,,
2024-02-22,False,,,
2024-02-23,False,,,
2024-02-26,False,,,
2024-02-27,False,,,
2024-02-28,False,,,
2024-02-29,False,,,
2024-03-01,False,,,
2024-03-04,False,,,
2024-03-05,False,,,
2024-03-06,False,,,
2024-03-07,False,,,
2024-03-08,False,,,
2024-03-11,False,,,
2024-03-12,False,,,
2024-03-13,False,,,
2024-03-14,False,,,
2024-03-15,False,,,
2024-03-18,False,,,
2024-03-19,False,,,
2024-03-20,False,,,
2024-03-21,False,,,
2024-03-22,False,,,
2024-03-25,False,,,
2024-03-26,False,,,
2024-03-27,False,,,
2024-03-28,False,,,
2024-04-01,False,,,
2024-04-02,False,,,
2024-04-03,False,,,
2024-04-04,False,,,
2024-04-05,False,,,
2024-04-08,False,,,
2024-04-09,False,,,
2024-04-10,False,,,
2024-04-11,False,,,
2024-04-12,False,,,
2024-04-15,False,,,
2024-04-16,False,,,
2024-04-17,False,,,
2024-04-18,False,,,
2024-04-19,False,,,
2024-04-22,False,,,
2024-04-23,False,,,
2024-04-24,False,,,
2024-04-25,False,,,
2024-04-26,False,,,
2024-04-29,False,,,
2024-04-30,False,,,
2024-05-01,False,,,
2024-05-02,False,,,
2024-05-03,False,,,
2024-05-06,False,,,
2024-05-07,False,,,
2024-05-08,False,,,
2024-05-09,False,,,
2024-05-10,False,,,
2024-05-13,False,,,
2024-05-14,False,,,
2024-05-15,False,,,
2024-05-16,False,,,
2024-05-17,False,,,
2024-05-20,False,,,
2024-05-21,False,,,
2024-05-22,True,0.5,0.0,0.0005
2024-05-23,True,,,
2024-05-24,True,,,
2024-05-28,True,,,
2024-05-29,True,,,
2024-05-30,True,,,
2024-05-31,True,,,
2024-06-03,True,,,
2024-06-04,True,,,
2024-06-05,True,,,
2024-06-06,False,0.8780142161641535,0.0,0.0008780142161641
2024-06-07,False,,,
2024-06-10,False,,,
2024-06-11,False,,,
2024-06-12,False,,,
2024-06-13,False,,,
2024-06-14,False,,,
2024-06-17,False,,,
2024-06-18,False,,,
2024-06-20,False,,,
2024-06-21,False,,,
2024-06-24,False,,,
2024-06-25,False,,,
2024-06-26,False,,,
2024-06-27,False,,,
2024-06-28,False,,,
2024-07-01,False,,,
2024-07-02,False,,,
2024-07-03,False,,,
2024-07-05,False,,,
2024-07-08,False,,,
2024-07-09,False,,,
2024-07-10,False,,,
2024-07-11,False,,,
2024-07-12,False,,,
2024-07-15,False,,,
2024-07-16,False,,,
