date,source_model,daily_original_034_return,daily_use_expanded,daily_source_switch_cost,daily_corrected_034_return,switch_transition,switch_gross_source_switch_turnover,switch_gross_source_switch_cost,switch_selected_source_cost_already_embedded_on_transition_date,switch_missing_source_switch_cost,switch_same_day_internal_rebalance,switch_method,feature_growth_strength,feature_soxx_strength,feature_risk_off_strength,feature_crash_pressure,feature_score_gap,feature_total_budget,feature_conviction_scale,feature_allowed_TQQQ_saved,weight_BIL,asset_return_BIL,weight_ERX,asset_return_ERX,weight_FEZ,asset_return_FEZ,weight_GLD,asset_return_GLD,weight_IEF,asset_return_IEF,weight_IWM,asset_return_IWM,weight_QQQM,asset_return_QQQM,weight_SOXL,asset_return_SOXL,weight_SOXX,asset_return_SOXX,weight_TLT,asset_return_TLT,weight_TNA,asset_return_TNA,weight_TQQQ,asset_return_TQQQ,weight_UXI,asset_return_UXI,weight_XLB,asset_return_XLB,weight_XLE,asset_return_XLE,weight_XLF,asset_return_XLF,weight_XLI,asset_return_XLI,weight_XLP,asset_return_XLP,weight_XLRE,asset_return_XLRE,weight_XLU,asset_return_XLU,weight_XLV,asset_return_XLV,weight_XSOE,asset_return_XSOE
2023-10-18,022F_BASE,0x1.cacd51b1171f5p-14,False,0x0.0p+0,0x1.cacd51b1171f5p-14,,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,False,0x1.0000000000000p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0
2023-10-19,022F_BASE,0x1.c9ab7d8b72b2ap-12,False,0x0.0p+0,0x1.c9ab7d8b72b2ap-12,,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,False,0x1.0000000000000p+0,0x1.c9d54e4df7000p-12,0x0.0p+0,-0x1.145e1d65fd280p-8,0x0.0p+0,-0x1.fd8deb8dd6600p-10,0x0.0p+0,0x1.9231e8bc2a080p-7,0x0.0p+0,-0x1.42979b3586400p-8,0x0.0p+0,-0x1.0509bf9d14540p-6,0x0.0p+0,-0x1.3743205dee940p-7,0x0.0p+0,-0x1.7ceb35608b7c0p-5,0x0.0p+0,-0x1.f8cd9781bfc40p-7,0x0.0p+0,-0x1.4f71a73ab3c80p-6,0x0.0p+0,-0x1.8531a753dd460p-5,0x0.0p+0,-0x1.b5bdb4e329e80p-6,0x0.0p+0,-0x1.282e596550220p-6,0x0.0p+0,-0x1.7e68529776340p-7,0x0.0p+0,-0x1.c827e0f8dbc00p-10,0x0.0p+0,-0x1.b30f1d3571d40p-7,0x0.0p+0,-0x1.2ebec50c23d80p-7,0x0.0p+0,-0x1.e1a9353d90600p-8,0x0.0p+0,-0x1.92ecff1b55940p-6,0x0.0p+0,-0x1.466839531f280p-7,0x0.0p+0,-0x1.4303b12a2c2c0p-7,0x0.0p+0,-0x1.2bb421c9b0680p-8
2023-10-20,022F_BASE,0x1.c8c830a899449p-13,False,0x0.0p+0,0x1.c8c830a899449p-13,,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,False,0x1.0000000000000p+0,0x1.c8f1735344000p-13,0x0.0p+0,-0x1.22b0d1a78ebe0p-5,0x0.0p+0,-0x1.3f10becfec680p-7,0x0.0p+0,0x1.65f1b64799200p-9,0x0.0p+0,0x1.7f1d675404000p-8,0x0.0p+0,-0x1.a7a208e89cb80p-7,0x0.0p+0,-0x1.e26ecc3c47f00p-7,0x0.0p+0,-0x1.734bb74e3c2d0p-5,0x0.0p+0,-0x1.d9df304d58bc0p-7,0x0.0p+0,0x1.7424d5dc7ce00p-8,0x0.0p+0,-0x1.423acbecd6210p-5,0x0.0p+0,-0x1.7170f6479c830p-5,0x0.0p+0,-0x1.59c7d1469f1e0p-6,0x0.0p+0,-0x1.8b85df4713140p-7,0x0.0p+0,-0x1.12d9d285d2920p-6,0x0.0p+0,-0x1.f50a17d0399c0p-7,0x0.0p+0,-0x1.526c1e4561080p-7,0x0.0p+0,-0x1.f8a3b351ca400p-9,0x0.0p+0,-0x1.526e185679280p-8,0x0.0p+0,-0x1.54ddbbae23f40p-7,0x0.0p+0,-0x1.03f85a4e04400p-8,0x0.0p+0,-0x1.5f4434caa5e80p-7
2023-10-23,022F_BASE,0x1.cb3cfb9c73de3p-14,False,0x0.0p+0,0x1.cb3cfb9c73de3p-14,,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,False,0x1.0000000000000p+0,0x1.c96f6519b4000p-14,0x0.0p+0,-0x1.f5124c6b77780p-6,0x0.0p+0,0x1.c314c76db2400p-8,0x0.0p+0,-0x1.baa3748622200p-9,0x0.0p+0,0x1.33a4d1d967500p-8,0x0.0p+0,-0x1.159857254f740p-7,0x0.0p+0,0x1.8255930f31a00p-9,0x0.0p+0,-0x1.ec4ecd0c5dc40p-7,0x0.0p+0,-0x1.749b628cda380p-8,0x0.0p+0,0x1.89a9a7a5ad980p-7,0x0.0p+0,-0x1.a5e1079172420p-6,0x0.0p+0,0x1.205c6665da400p-7,0x0.0p+0,-0x1.4aaebec5cd0c0p-7,0x0.0p+0,-0x1.6d89e6fc9c240p-7,0x0.0p+0,-0x1.09042606b44e0p-6,0x0.0p+0,-0x1.97101bbb79a80p-8,0x0.0p+0,-0x1.3172e3e75bb00p-8,0x0.0p+0,-0x1.fa9b1bc515200p-10,0x0.0p+0,-0x1.1827a22584780p-7,0x0.0p+0,-0x1.14b01c77d0040p-7,0x0.0p+0,-0x1.996521a93fe00p-8,0x0.0p+0,-0x1.95d67b042ec00p-11
2023-10-24,022F_BASE,0x1.c86f9abd03ea5p-14,False,0x0.0p+0,0x1.c86f9abd03ea5p-14,,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,False,0x1.0000000000000p+0,0x1.c9629ff95c000p-14,0x0.0p+0,-0x1.d6d18f9285240p-6,0x0.0p+0,0x1.4ffdda9370000p-8,0x0.0p+0,-0x1.ca9125484a000p-14,0x0.0p+0,0x1.d2aeab3e7f800p-10,0x0.0p+0,0x1.1dea4e69f5680p-7,0x0.0p+0,0x1.3bc2b08f27b00p-7,0x0.0p+0,0x1.44e16a2b6f980p-5,0x0.0p+0,0x1.bca69c988a980p-7,0x0.0p+0,0x1.afc0bd65b0b00p-7,0x0.0p+0,0x1.7123e2ae3f040p-6,0x0.0p+0,0x1.ce2070b7fcd00p-6,0x0.0p+0,0x1.f514a370f1e00p-7,0x0.0p+0,0x1.834307242e800p-7,0x0.0p+0,-0x1.cd43731b5df00p-7,0x0.0p+0,0x1.c291777bf0e00p-8,0x0.0p+0,0x1.eda7b00f77600p-8,0x0.0p+0,0x1.163195fcfb400p-7,0x0.0p+0,0x1.9dc3e05cfa180p-7,0x0.0p+0,0x1.a56a9246f9200p-6,0x0.0p+0,0x1.91a84c43cc000p-9,0x0.0p+0,0x1.d5920e6eaff00p-7
2023-10-25,022F_BASE,0x1.c92c27f68f60fp-14,False,0x0.0p+0,0x1.c92c27f68f60fp-14,,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,False,0x1.0000000000000p+0,0x1.c9bac96ec0000p-14,0x0.0p+0,-0x1.513734b679a00p-8,0x0.0p+0,-0x1.dd8b9e996ae00p-8,0x0.0p+0,0x1.13d457e5a5500p-8,0x0.0p+0,-0x1.1f78e00bcb200p-7,0x0.0p+0,-0x1.0ea70460227e0p-6,0x0.0p+0,-0x1.8f41bdc82baa0p-6,0x0.0p+0,-0x1.f193aeb0d0c90p-4,0x0.0p+0,-0x1.4b28b8e0f1c10p-5,0x0.0p+0,-0x1.6cb7fb3379540p-6,0x0.0p+0,-0x1.84c5fb242b480p-5,0x0.0p+0,-0x1.2c04d30fd7ff8p-4,0x0.0p+0,-0x1.b1b7b9e8eef60p-6,0x0.0p+0,-0x1.7ebd0f1c2edc0p-7,0x0.0p+0,-0x1.df1ba33e26600p-10,0x0.0p+0,-0x1.e82d597ee4d00p-9,0x0.0p+0,-0x1.a4703f3943fc0p-7,0x0.0p+0,0x1.bd3d5f9015200p-9,0x0.0p+0,-0x1.57d3499805e40p-6,0x0.0p+0,0x1.6e6d7e9adc700p-8,0x0.0p+0,-0x1.24a33b9ea0a00p-7,0x0.0p+0,-0x1.0cffe8f647d20p-6
2023-10-26,022F_BASE,0x1.c9388e6601f9dp-12,False,0x0.0p+0,0x1.c9388e6601f9dp-12,,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,False,0x1.0000000000000p+0,0x1.c92fda47b0000p-12,0x0.0p+0,-0x1.d211d67808140p-7,0x0.0p+0,-0x1.20a1b99451d80p-8,0x0.0p+0,0x1.9dc8269cde800p-10,0x0.0p+0,0x1.f33db7f375f00p-8,0x0.0p+0,0x1.503b280dacc00p-9,0x0.0p+0,-0x1.463fd7a6c6ec0p-6,0x0.0p+0,-0x1.06ab99a3d3e20p-6,0x0.0p+0,-0x1.85bcad4d99380p-8,0x0.0p+0,0x1.f69db8b658a80p-7,0x0.0p+0,0x1.ef98b4ba5af00p-8,0x0.0p+0,-0x1.dd78af6d2f4f0p-5,0x0.0p+0,-0x1.23e1a09f098c0p-7,0x0.0p+0,0x1.c9af305ef1100p-8,0x0.0p+0,-0x1.fdef2bc33c400p-8,0x0.0p+0,-0x1.1dd49d6c31a00p-9,0x0.0p+0,-0x1.12fde7a7bff00p-8,0x0.0p+0,-0x1.a86be2f2e9f80p-8,0x0.0p+0,0x1.5a1b22178a340p-6,0x0.0p+0,0x1.1993e1b10a480p-7,0x0.0p+0,-0x1.43c46f32bd780p-7,0x0.0p+0,-0x1.970d72e0eb300p-8
2023-10-27,022F_BASE,0x1.567f020ccab0dp-12,False,0x0.0p+0,0x1.567f020ccab0dp-12,,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,False,0x1.0000000000000p+0,0x1.5684e44a10000p-12,0x0.0p+0,-0x1.8d946fe0718d0p-5,0x0.0p+0,-0x1.19dcf3db3c100p-7,0x0.0p+0,0x1.7d15d4cf80b00p-7,0x0.0p+0,0x1.981d28d557c00p-10,0x0.0p+0,-0x1.814ae43c04480p-7,0x0.0p+0,0x1.8112979512f00p-8,0x0.0p+0,0x1.9b8b7f1d59f00p-6,0x0.0p+0,0x1.6092605127200p-7,0x0.0p+0,-0x1.167a0296e1680p-8,0x0.0p+0,-0x1.2c31167b631b0p-5,0x0.0p+0,0x1.d334df4bb4880p-7,0x0.0p+0,-0x1.3dc237b97bfa0p-6,0x0.0p+0,-0x1.a3ae950ae8800p-12,0x0.0p+0,-0x1.8905cb55aec00p-6,0x0.0p+0,-0x1.28ae48e84bb40p-6,0x0.0p+0,-0x1.21a00a6e92f40p-7,0x0.0p+0,-0x1.bea077d790100p-7,0x0.0p+0,-0x1.0331dc70e2420p-6,0x0.0p+0,-0x1.3548f935d4560p-6,0x0.0p+0,-0x1.154bfc072c020p-6,0x0.0p+0,0x1.9985279247000p-11
2023-10-30,022F_BASE,0x1.c92abf4b1e5e8p-14,False,0x0.0p+0,0x1.c92abf4b1e5e8p-14,,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,False,0x1.0000000000000p+0,0x1.c954b1b018000p-14,0x0.0p+0,0x1.52cf957c51d00p-8,0x0.0p+0,0x1.03f0114017a00p-6,0x0.0p+0,-0x1.71a8acf947c00p-8,0x0.0p+0,-0x1.b480b39f94100p-9,0x0.0p+0,0x1.6ba02a0c25e00p-8,0x0.0p+0,0x1.6c5ee3dad4300p-7,0x0.0p+0,-0x1.353be24f89760p-5,0x0.0p+0,-0x1.b6c9604469400p-7,0x0.0p+0,-0x1.272c05081af80p-8,0x0.0p+0,0x1.06cdb4c250a40p-6,0x0.0p+0,0x1.0857f876bf560p-5,0x0.0p+0,0x1.ba9960951f500p-6,0x0.0p+0,0x1.50a4fe316e480p-7,0x0.0p+0,0x1.b1a876bf80a00p-9,0x0.0p+0,0x1.23bb9895a7d00p-6,0x0.0p+0,0x1.97bb7cadfdd80p-7,0x0.0p+0,0x1.ffd99dea7d980p-7,0x0.0p+0,0x1.952d06ea97000p-9,0x0.0p+0,0x1.f627554fd5900p-8,0x0.0p+0,0x1.6f3967a1fdb00p-8,0x0.0p+0,0x1.b2dabf7ec1380p-7
2023-10-31,022F_BASE,0x0.0p+0,False,0x0.0p+0,0x0.0p+0,,nan,nan,nan,nan,,,-0x1.cb7837b2e9b1ap-1,-0x1.26e9af903a3efp+0,0x1.ed738fc0bcbffp-2,-0x1.5c83d95b4ecffp-1,0x1.c41c2c621e9efp-6,0x1.87fbb3f2d19efp-3,0x1.88a5f5c80d344p-1,False,0x1.0000000000000p+0,0x0.0p+0,0x0.0p+0,0x1.ee5ca7a82fe00p-8,0x0.0p+0,0x1.0fdf930463800p-8,0x0.0p+0,-0x1.6599edcd0c400p-8,0x0.0p+0,-0x1.156ca21f03500p-9,0x0.0p+0,0x1.1b3fee0134200p-7,0x0.0p+0,0x1.2d11e0638b100p-8,0x0.0p+0,0x1.a1363d16fe000p-6,0x0.0p+0,0x1.2bbcd17b12f80p-7,0x0.0p+0,-0x1.3fe65e9c02d80p-8,0x0.0p+0,0x1.bb69216bd7040p-6,0x0.0p+0,0x1.dca85842bc280p-7,0x0.0p+0,0x1.be585dce2c000p-7,0x0.0p+0,0x1.264475ae9b600p-8,0x0.0p+0,0x1.b03a5f2a9ec00p-9,0x0.0p+0,0x1.6649e57922200p-7,0x0.0p+0,0x1.e34370c885600p-8,0x0.0p+0,0x1.d138023c8ea00p-9,0x0.0p+0,0x1.482ed5e0d2c00p-6,0x0.0p+0,0x1.1a62598d60500p-7,0x0.0p+0,0x1.77c3173883f00p-8,0x0.0p+0,-0x1.93e81690e7800p-8
