feature,importance
copper_rel_spy_3m,0.20319231077301056
soxx_3m,0.13358394768747658
ret_1m,0.07023846554475897
short_rate,0.047361797215597
spy_vol_3m,0.043075487760589865
spy_ret_6m,0.036309879961824956
spy_ret_3m,0.030232653735778225
usd_6m,0.029038222206449894
ret_3m,0.029027416028248623
ret_6m,0.025985026695425923
usd_3m_strength,0.025709249298417187
war_XLE,0.022592643473714247
oil_3m,0.021356732461841128
vix_level,0.02107933286318074
rel_6m_vs_spy,0.01834954821050932
oil_1m,0.014889606834935565
soxx_1m,0.013242798667530795
usd_3m,0.010772725038673419
war_strength,0.010690144582025713
ret_12m,0.01004688201188861
soxx_rel_spy_1m,0.00989247179656925
copper_3m,0.009825315862238797
ita_rel_spy_1m,0.009481596379462665
spy_vol_1m,0.009355661663293414
vol_3m,0.009106554204156058
yield_curve,0.008649944293301098
is_XLE,0.007608441987131193
copper_1m,0.0071489359125701726
vol_1m,0.006941965927564992
hyg_strength,0.0061087096689705495
usd_1m_strength,0.00544559840605256
hyg_1m,0.005056151356563432
hyg_rel_spy_1m,0.004775917804780968
ita_1m,0.004757714312490231
crash_pressure,0.0044731090207032415
hyg_rel_spy_3m,0.004240462847903848
usd_level_strength,0.004187324459479096
credit_QQQM,0.00364696433587184
hyg_3m,0.0036078150575023925
usd_1m,0.003605066489210679
copper_3m_strength,0.0035003098009280167
qqqm_dd_21,0.0029678453197223105
xli_rel_spy_1m,0.002963304042370533
spy_ret_1m,0.002957979288248891
long_rate,0.0027932567831560457
yield_curve_QQQM,0.0027661807295846085
hyg_6m,0.002541513017070437
qqqm_10d,0.002148934853321329
vix_1m,0.0021404195453513385
risk_off_QQQM,0.0019766117476778295
copper_rel_spy_1m,0.0018989026091840344
xlb_rel_spy_1m,0.0018480688619449974
credit_strength,0.001809659755074889
growth_strength,0.0017473029246796604
crash_pressure_QQQM,0.0016676952955140079
is_QQQM,0.0015530513657129401
soxx_5d,0.0013756204782923475
qqqm_5d,0.0013543581778352074
qqqm_rel_spy_1m,0.0012902551763601653
materials_strength,0.0012158335084186754
soxx_dd_21,0.0012061992887357064
risk_off_strength,0.001139289697868998
hyg_QQQM,0.001091606290613963
copper_strength,0.0010054136258606516
soxx_10d,0.000933697472962936
tech_real_economy_divergence,0.0008562544287936946
risk_off_XSOE,0.0007893477564815844
industrial_strength,0.000767265398988328
is_XLB,0.0007171860175407177
copper_3m_XLB,0.0005875476254692396
usd_level_XSOE,0.0005055467834878702
growth_QQQM,0.00045680104065444287
usd_6m_XSOE,0.0004498369521218166
usd_3m_XSOE,0.00043993130425088253
hyg_XSOE,0.0003440652275930686
usd_XSOE,0.00028962740652740883
divergence_QQQM,0.00022374900303380704
copper_XSOE,0.00020442492561518872
credit_XSOE,0.000151241899787145
usd_3m_strength_XSOE,0.0001295613127927999
risk_off_XLB,0.00012356872936399794
materials_XLB,7.900038842144823e-05
usd_1m_strength_XSOE,6.803764200387115e-05
copper_XLB,6.656073035546758e-05
is_XSOE,5.391137994358926e-05
copper_XLI,3.5854265321453595e-05
credit_XLI,2.6429458944952074e-05
risk_off_XLI,1.5851539686416417e-05
hyg_XLI,1.552806454887324e-05
growth_XLI,1.4199052991087976e-05
is_XLI,4.769171096518089e-06
industrial_XLI,0.0
