feature,importance
vol_1m,0.12120241921530196
copper_rel_spy_3m,0.10522480926192836
spy_vol_3m,0.10055466686793094
spy_ret_3m,0.08233697616184601
oil_3m,0.06099979357159034
short_rate,0.05174951395652395
usd_3m_strength,0.04814966462502283
ret_12m,0.03779992054246478
vol_3m,0.03365396529713125
crash_pressure_SOXX,0.02288757159297707
usd_6m,0.02170537196768302
ita_rel_spy_1m,0.02115023834169098
ret_1m,0.020011517382081234
soxx_1m,0.019982873788559133
spy_ret_6m,0.012449103548094536
oil_1m,0.011753781965155601
hyg_1m,0.010751090576638984
hyg_strength,0.010708344800074418
growth_SOXX,0.010053676508768306
long_rate,0.009501799321190883
war_XLE,0.008554092186471955
vix_level,0.008486333860377854
rel_6m_vs_spy,0.008483314072259926
soxx_SOXX,0.008276316663624505
usd_1m_strength,0.008124206786472228
usd_3m,0.008121018645217748
ita_1m,0.008117928708697654
hyg_6m,0.00810823102377322
hyg_rel_spy_1m,0.007862249005338
ret_6m,0.00766833489052881
yield_curve,0.007034086498752287
ret_3m,0.006815351387589912
hyg_3m,0.006264676650482999
qqqm_dd_21,0.006251807187179048
usd_level_strength,0.006150006606703148
spy_ret_1m,0.005641794858709718
copper_3m,0.005269297510107406
xli_rel_spy_1m,0.005158935579032156
soxx_3m,0.004415630683507408
risk_off_SOXX,0.004043824586147045
is_SOXX,0.003870428333918818
soxx_dd_21,0.0036266594613902623
copper_1m,0.003504634508833332
is_XLE,0.0030724904510583337
war_strength,0.0028811347760365705
copper_3m_strength,0.0025628668257110542
qqqm_5d,0.002419762796623514
credit_strength,0.002155251567806889
usd_1m,0.0020947959104845914
soxx_5d,0.0019461727153446695
vix_1m,0.001909434003675455
hyg_rel_spy_3m,0.0016624902435911242
crash_pressure,0.0015610251510924096
materials_strength,0.0015413295235082787
spy_vol_1m,0.0013958116586446979
qqqm_10d,0.0011272651364951608
soxx_rel_spy_1m,0.0010942810882547543
tech_real_economy_divergence,0.0010863066018588403
industrial_strength,0.0010683023296406908
is_XLV,0.00088695523162662
risk_off_strength,0.0007873175988433316
growth_XLV,0.0006892278113346907
growth_strength,0.0006847948049925489
qqqm_rel_spy_1m,0.0006417898613154786
risk_off_XLV,0.0005365638455813898
copper_strength,0.0004734366189154329
soxx_10d,0.0004548030132433895
xlb_rel_spy_1m,0.00044880033882606645
credit_QQQM,0.00044134278137895997
copper_rel_spy_1m,0.00039658414134108473
risk_off_IWM,0.00031318897044648884
yield_curve_QQQM,0.000270077204393702
growth_IWM,0.00019613639639723534
growth_QQQM,0.00016024649192568005
usd_3m_IWM,0.00010042684265015434
crash_pressure_QQQM,8.019089979295234e-05
risk_off_XLB,5.841560347592286e-05
hyg_XLF,5.2045866669226166e-05
is_XLB,3.48289492944979e-05
copper_3m_XLB,3.240960467485241e-05
hyg_QQQM,3.064386709693964e-05
is_IWM,2.8159577853466726e-05
usd_level_XSOE,2.799844937648972e-05
risk_off_QQQM,2.5458653184218985e-05
risk_off_XSOE,1.835217662027327e-05
copper_XLB,1.7763725039342098e-05
materials_XLB,1.389329098952914e-05
divergence_QQQM,1.1118086442581057e-05
is_QQQM,1.066683161844949e-05
risk_off_XLF,6.431237985532341e-06
hyg_XSOE,6.348362713402468e-06
industrial_XLI,4.9731380718702124e-06
usd_XSOE,3.629958290892498e-06
is_XSOE,0.0
usd_3m_strength_XSOE,0.0
copper_XSOE,0.0
usd_6m_XSOE,0.0
usd_1m_strength_XSOE,0.0
usd_3m_XSOE,0.0
is_XLI,0.0
is_XLF,0.0
copper_XLI,0.0
credit_XLI,0.0
credit_XSOE,0.0
growth_XLI,0.0
hyg_XLI,0.0
credit_XLF,0.0
yield_curve_XLF,0.0
risk_off_XLI,0.0
credit_IWM,0.0
