score_decile,sample_count,avg_expected_return,avg_realized_return,median_realized_return,hit_rate,avg_error,top_asset_rate
1,111,-0.01378852066863789,-0.023155799380209115,-0.020916060680670756,0.15315315315315314,-0.009367278711571225,0.04504504504504504
2,110,0.0015697666492073,0.004425331269538313,0.004369940319157828,0.6,0.0028555646203310132,0.03636363636363636
3,111,0.004342489645812949,0.008382943478311117,0.00966305457592509,0.7027027027027027,0.004040453832498169,0.018018018018018018
4,110,0.005720267533389563,0.00183222671200764,0.0016125868403080723,0.5363636363636364,-0.0038880408213819236,0.01818181818181818
5,110,0.0069542844053094655,0.0021878740369500197,0.0013250958931971812,0.5363636363636364,-0.004766410368359446,0.02727272727272727
6,110,0.008449068569006726,0.002894343462176785,0.004625453691035397,0.5909090909090909,-0.0055547251068299415,0.03636363636363636
7,111,0.00967399964787322,0.009539229249295286,0.004840773960688605,0.5945945945945946,-0.00013477039857793583,0.05405405405405406
8,110,0.011609411396149346,0.010574598475156703,0.006956931266932531,0.5909090909090909,-0.0010348129209926408,0.06363636363636363
9,110,0.015351297923426084,0.021194825268539722,0.01903985464482627,0.7636363636363637,0.00584352734511364,0.12727272727272726
10,111,0.03080409370875692,0.03824111581297089,0.03336789493273784,0.8738738738738738,0.0074370221042139705,0.1981981981981982
