feature,importance
vol_1m,0.10708223256521016
copper_rel_spy_3m,0.10482026380232247
spy_vol_3m,0.10361658305273504
oil_3m,0.07278667515238813
spy_ret_3m,0.07213572844410693
usd_3m_strength,0.05446738287697643
short_rate,0.04831252960225271
ret_12m,0.040930848967346986
vol_3m,0.03381145130578778
hyg_1m,0.02399432332550831
ita_rel_spy_1m,0.023438491998037565
crash_pressure_SOXX,0.019855613507957146
long_rate,0.0194327887874782
ret_1m,0.019322626984111083
usd_6m,0.016252996424890254
hyg_6m,0.013994670493615998
war_XLE,0.011509589660732657
soxx_SOXX,0.010869063228891872
oil_1m,0.010540021604416189
usd_1m_strength,0.01026492893830294
spy_ret_6m,0.010169759653777035
vix_level,0.009452648158998815
growth_SOXX,0.008934626047776874
ret_6m,0.00840213421711807
hyg_3m,0.008119495210195676
rel_6m_vs_spy,0.007928463512074633
usd_3m,0.007641523888658955
yield_curve,0.007399450603417087
ita_1m,0.007294366897582032
spy_ret_1m,0.006802284291789803
soxx_1m,0.006267441656471698
ret_3m,0.006138168058954307
xli_rel_spy_1m,0.006012211784783223
hyg_strength,0.0054110557540951775
copper_3m,0.005359492180171824
is_SOXX,0.004982138204114024
war_strength,0.00454223197223258
copper_1m,0.004437211516889421
risk_off_SOXX,0.004240006498779334
usd_level_strength,0.00381893256849682
hyg_rel_spy_1m,0.003646620895464519
soxx_3m,0.003604706281815216
qqqm_dd_21,0.0035638984769301328
usd_1m,0.0033798268747610013
hyg_rel_spy_3m,0.0029880540286850153
crash_pressure,0.002705124794951447
copper_3m_strength,0.002418150198315734
is_XLE,0.0023124341742635623
qqqm_10d,0.002146666197953041
soxx_dd_21,0.002115650698276138
spy_vol_1m,0.002110113673632357
vix_1m,0.0019905203065832262
credit_strength,0.0017345703334373267
soxx_5d,0.0015173662909374538
qqqm_5d,0.0013012765032655665
industrial_strength,0.001061323667626259
growth_strength,0.0009973799230747324
xlb_rel_spy_1m,0.0009065191596459883
growth_XLV,0.0008699366445720415
tech_real_economy_divergence,0.0007972323989090915
credit_QQQM,0.0007702299618008298
soxx_rel_spy_1m,0.0007524961442275971
materials_strength,0.000721958527067369
soxx_10d,0.000617761028678023
copper_rel_spy_1m,0.0005325003399172625
copper_strength,0.0005205724462623438
qqqm_rel_spy_1m,0.0005050467349710369
is_XLV,0.0004876862057581549
risk_off_XLV,0.0004699473516579311
risk_off_strength,0.00042388977638036304
growth_QQQM,0.0002601623304984262
risk_off_IWM,0.00018376012633934888
yield_curve_QQQM,0.00015757221200786962
risk_off_QQQM,9.43542570853753e-05
credit_IWM,7.201636956185899e-05
materials_XLB,6.046868296245273e-05
crash_pressure_QQQM,6.0248959561752684e-05
copper_XLB,5.1428792607690794e-05
risk_off_XLB,4.5355653700503066e-05
hyg_XSOE,4.526226540035988e-05
growth_IWM,4.2067211224351305e-05
is_IWM,3.945006813978337e-05
hyg_QQQM,3.554346973425515e-05
copper_3m_XLB,1.9878718548055144e-05
usd_3m_strength_XSOE,1.902062959841891e-05
is_QQQM,1.813687598924838e-05
yield_curve_XLF,1.1452419366233361e-05
risk_off_XSOE,9.902415387520216e-06
copper_XSOE,8.975561792160121e-06
usd_3m_IWM,3.029541227461283e-06
is_XSOE,0.0
is_XLB,0.0
is_XLI,0.0
usd_XSOE,0.0
usd_3m_XSOE,0.0
usd_6m_XSOE,0.0
usd_level_XSOE,0.0
usd_1m_strength_XSOE,0.0
is_XLF,0.0
growth_XLI,0.0
copper_XLI,0.0
industrial_XLI,0.0
divergence_QQQM,0.0
credit_XSOE,0.0
credit_XLI,0.0
hyg_XLI,0.0
credit_XLF,0.0
risk_off_XLI,0.0
hyg_XLF,0.0
risk_off_XLF,0.0
