model,annual_return,volatility,sharpe,max_drawdown,avg_turnover,trade_count,start,end,days,delta_ann_return_vs_current,delta_sharpe_vs_current,delta_max_dd_vs_current,selection_score,pass_basic,pass_strict,budget_base,budget_tech_floor,budget_ind_floor,budget_energy_floor,budget_risk_floor,budget_crash_floor,budget_move_floor,budget_tech_mult,budget_ind_mult,budget_energy_mult,budget_risk_mult,budget_crash_mult,budget_move_mult,budget_min,budget_max,vol_target,vol_floor,vol_scale_min,vol_scale_max,hard_risk_off_max,hard_crash_max,tqqq_growth_min,tqqq_soxx_min,tqqq_risk_off_max,uxi_industrial_min,uxi_credit_min,uxi_copper_min,uxi_materials_min,uxi_risk_off_max,erx_war_min,erx_credit_min,erx_risk_off_max,score_base,tqqq_priority,uxi_priority,erx_priority,krw_bonus,tech_dominance_min,tech_dominance_boost,tqqq_abs_max,uxi_abs_max,erx_abs_max,instability_mid,instability_slope,instability_cut,opportunity_mid,opportunity_slope,opportunity_boost,leader_flip_cut,entropy_floor,entropy_cut,danger_transition_cut,danger_transition_cap,wide_gap_min,wide_gap_boost,conviction_scale_min,conviction_scale_max
CONVICTION_00051,0.7824237755878627,0.20319488678381992,3.8506076012645307,-0.12080029516959512,1.045948499703362,65,2023-10-18,2026-05-11,642,0.12927640277913155,0.11831925012914901,-0.01830089020608916,0.18629204074072606,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00049,0.7922803460158856,0.20625383743793074,3.8412877833330565,-0.12288043145460548,1.047379892816737,65,2023-10-18,2026-05-11,642,0.13913297320715445,0.10899943219767483,-0.02038102649109952,0.18569583181115593,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00055,0.7865141200668242,0.2044858884333817,3.846300231729967,-0.12221752231239635,1.0472873826971922,65,2023-10-18,2026-05-11,642,0.13336674725809305,0.11401188059458534,-0.019718117348890396,0.18494023460625586,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00053,0.7949513502144565,0.20716707673331378,3.837247514178122,-0.12389199261907013,1.0484243596554659,65,2023-10-18,2026-05-11,642,0.14180397740572537,0.10495916304274022,-0.021392587655564177,0.1837570447072601,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00052,0.7876115366684631,0.204963683962276,3.842688233557632,-0.12274973383008414,1.047869155753911,65,2023-10-18,2026-05-11,642,0.13446416385973192,0.11039988242225007,-0.020250328866578182,0.18249715473228437,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00035,0.7802605944126884,0.2027986262874355,3.8474648901555693,-0.12080029516959478,1.0459484997033621,65,2023-10-18,2026-05-11,642,0.12711322160395722,0.11517653902018754,-0.018300890206088827,0.18185107833310796,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00033,0.7898061125648106,0.20578230825817842,3.8380661547148396,-0.12288043145460537,1.047379892816737,65,2023-10-18,2026-05-11,642,0.13665873975607945,0.10577780357945787,-0.020381026491099408,0.1808996827323688,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00056,0.7916251628418725,0.2062596355825938,3.8380033039711114,-0.12416606066478286,1.0492356526828375,65,2023-10-18,2026-05-11,642,0.1384777900331413,0.10571495283572974,-0.021666655701276905,0.18078485725702884,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00039,0.7843211630219973,0.20408568076041034,3.8430974681793755,-0.12221752231239658,1.0472873826971922,65,2023-10-18,2026-05-11,642,0.13117379021326614,0.11080911704399377,-0.019718117348890618,0.18042524643307928,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00019,0.7783385977569441,0.20234351234483086,3.8466199817195563,-0.120800295169595,1.0425786050191574,65,2023-10-18,2026-05-11,642,0.125191224948213,0.11433163058417461,-0.01830089020608905,0.1794875199794008,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
